config,window,mode,strategy,test_start,test_end,n_weeks,ann_return,ann_vol,sharpe,dsr,max_drawdown
CHAMPION,W2_test_2016_2018,long_only,m1_m2_binary,2016-01-01,2018-12-31,157,0.06641284519639878,0.08425280539961356,0.7882567812596943,0.9134438925224173,-0.10988896652937064
CHAMPION,W2_test_2016_2018,long_only,m1_m2_linear,2016-01-01,2018-12-31,157,0.008284791947181569,0.012283905330337479,0.6744428359212988,0.8732352711179097,-0.01725709592422564
CHAMPION,W2_test_2016_2018,long_only,m1_m2_ecdf,2016-01-01,2018-12-31,157,0.027973547334887883,0.05416379663186613,0.516462084905441,0.8163422134230757,-0.07451148850730283
CHAMPION,W2_test_2016_2018,long_short,m1_only,2016-01-01,2018-12-31,157,0.022046660137318153,0.05261685935177693,0.4190037263517062,0.778444695956249,-0.06880210326947556
CHAMPION,W2_test_2016_2018,long_short,m1_m2_binary,2016-01-01,2018-12-31,157,0.0356449440115334,0.050837565358788486,0.7011536402258358,0.8884991395181676,-0.06096253581911393
CHAMPION,W2_test_2016_2018,long_short,m1_m2_linear,2016-01-01,2018-12-31,157,0.004664089687395512,0.009447138281814049,0.4937039713257917,0.808644928936576,-0.010843379128073982
CHAMPION,W2_test_2016_2018,long_short,m1_m2_ecdf,2016-01-01,2018-12-31,157,0.018621470057990308,0.047374979585268887,0.39306550041829674,0.7622595887301361,-0.06959125076576123
BASE,W3_test_2018_2020,long_only,m1_only,2018-01-01,2020-12-31,156,0.04870473408896703,0.11386212613845806,0.4277518411147649,0.786360096836501,-0.1497293853642473
BASE,W3_test_2018_2020,long_only,m1_m2_binary,2018-01-01,2020-12-31,156,0.07083955915834772,0.10036508134870602,0.7058187788661723,0.8945891340280352,-0.10816046473488083
BASE,W3_test_2018_2020,long_only,m1_m2_linear,2018-01-01,2020-12-31,156,0.015148214239964597,0.01975142457823283,0.766942869359346,0.9048060033072631,-0.020978708386048095
BASE,W3_test_2018_2020,long_only,m1_m2_ecdf,2018-01-01,2020-12-31,156,0.04296222749767442,0.05047223633315907,0.8512051499776571,0.9294917073199426,-0.053256929933172104
BASE,W3_test_2018_2020,long_short,m1_only,2018-01-01,2020-12-31,156,-0.013339673900765292,0.08053306040288262,-0.16564220748635314,0.41370926417263376,-0.13524443610656645
BASE,W3_test_2018_2020,long_short,m1_m2_binary,2018-01-01,2020-12-31,156,-0.01338071583257816,0.08550632651444003,-0.15648802115617105,0.4206704239445128,-0.12849336624363228
BASE,W3_test_2018_2020,long_short,m1_m2_linear,2018-01-01,2020-12-31,156,-0.002817272118993408,0.017123801485221402,-0.1645237549281822,0.3923485873816402,-0.026296423893647614
BASE,W3_test_2018_2020,long_short,m1_m2_ecdf,2018-01-01,2020-12-31,156,-0.01314667659694313,0.07034332870192084,-0.18689301230898586,0.395085290905289,-0.13703238492143455
CHAMPION,W3_test_2018_2020,long_only,m1_only,2018-01-01,2020-12-31,156,0.05560048393634043,0.1159302214782612,0.47960301660224486,0.8096516618972034,-0.15853628626740257
CHAMPION,W3_test_2018_2020,long_only,m1_m2_binary,2018-01-01,2020-12-31,156,0.057652279047347266,0.11576238178022051,0.49802257141531875,0.8171963860158902,-0.15489517052064672
CHAMPION,W3_test_2018_2020,long_only,m1_m2_linear,2018-01-01,2020-12-31,156,0.018576167999266424,0.023520874466827896,0.7897736976346215,0.9103044701523458,-0.029228403221164045
CHAMPION,W3_test_2018_2020,long_only,m1_m2_ecdf,2018-01-01,2020-12-31,156,0.06833944904905476,0.0660427178184457,1.0347764493418166,0.9684702288535688,-0.04446692378328465
CHAMPION,W3_test_2018_2020,long_short,m1_only,2018-01-01,2020-12-31,156,-0.002448232108716919,0.0814493327977295,-0.030058344551413763,0.50706486461109,-0.12214829482815104
CHAMPION,W3_test_2018_2020,long_short,m1_m2_binary,2018-01-01,2020-12-31,156,-0.015810629059119452,0.08449795414120367,-0.1871125664498157,0.39899584541001554,-0.14856131333018263
CHAMPION,W3_test_2018_2020,long_short,m1_m2_linear,2018-01-01,2020-12-31,156,-0.0021997064947471,0.01699318439607472,-0.12944639706582678,0.4163706306717978,-0.030490713361158606
CHAMPION,W3_test_2018_2020,long_short,m1_m2_ecdf,2018-01-01,2020-12-31,156,-0.004637450905872864,0.07242084091720045,-0.06403475639249913,0.4806544714064225,-0.14074399085025002
BASE,W4_test_2021_now,long_only,m1_only,2021-01-01,latest,285,0.08404410490911496,0.10679730999155226,0.7869496424185488,0.9677546255114292,-0.21003977682248642
BASE,W4_test_2021_now,long_only,m1_m2_binary,2021-01-01,latest,285,0.08443406788895946,0.10678448193745865,0.7906960483116887,0.9682962210178857,-0.21003977682248676
BASE,W4_test_2021_now,long_only,m1_m2_linear,2021-01-01,latest,285,0.01916176541213388,0.022320671275472614,0.8584762158649797,0.9759075365507696,-0.04702886756399116
BASE,W4_test_2021_now,long_only,m1_m2_ecdf,2021-01-01,latest,285,0.069273227152445,0.08108883116551814,0.8542881449486528,0.9769867334724053,-0.16080741651381203
BASE,W4_test_2021_now,long_short,m1_only,2021-01-01,latest,285,0.02669653640993208,0.056339742072226896,0.4738491059420796,0.8771939084938827,-0.09105131068774897
BASE,W4_test_2021_now,long_short,m1_m2_binary,2021-01-01,latest,285,0.021986711760100475,0.08119547073334756,0.270787416607345,0.76249652980919,-0.2194122109226907
BASE,W4_test_2021_now,long_short,m1_m2_linear,2021-01-01,latest,285,0.0062814392607530856,0.014086686618369582,0.44591318249117906,0.8506056736312156,-0.04008267438774282
BASE,W4_test_2021_now,long_short,m1_m2_ecdf,2021-01-01,latest,285,0.05268035762299528,0.06816955315073656,0.7727842590739658,0.965931421019348,-0.10955276685707283
CHAMPION,W4_test_2021_now,long_only,m1_only,2021-01-01,latest,285,0.0846681162473879,0.10577272415841141,0.8004721152930125,0.9696014250944136,-0.2214520171949721
CHAMPION,W4_test_2021_now,long_only,m1_m2_binary,2021-01-01,latest,285,0.0846681162473879,0.1057727241584114,0.8004721152930125,0.9696014250944136,-0.22145201719497243
CHAMPION,W4_test_2021_now,long_only,m1_m2_linear,2021-01-01,latest,285,0.019169613968959442,0.022286455879346294,0.8601463630080659,0.9760424027093075,-0.05174380539945789
CHAMPION,W4_test_2021_now,long_only,m1_m2_ecdf,2021-01-01,latest,285,0.07127575187668844,0.08866382364738142,0.8038876392265031,0.9699053485116454,-0.1998811834666936
CHAMPION,W4_test_2021_now,long_short,m1_only,2021-01-01,latest,285,0.03169244012022743,0.05575646268765244,0.5684083708424689,0.9161875817908456,-0.08365403524116355
CHAMPION,W4_test_2021_now,long_short,m1_m2_binary,2021-01-01,latest,285,-0.007940350975673138,0.06134326255540434,-0.12944128898428786,0.4080779885152642,-0.20939611264150537
CHAMPION,W4_test_2021_now,long_short,m1_m2_linear,2021-01-01,latest,285,0.00523692246411267,0.00946217833186128,0.5534584405874888,0.8987154667541728,-0.02828873245963659
CHAMPION,W4_test_2021_now,long_short,m1_m2_ecdf,2021-01-01,latest,285,0.05993456181862222,0.06972641860185172,0.8595674784454015,0.9781520483573163,-0.11847237955359213
